Date,Link,Number of letters,how many about COVID,Major theme,other theme
"July 2, 2020",https://www.washingtonpost.com/business/2020/07/02/manager-with-autism-considers-disclosing-diagnosis-team/,,,,
"July 9, 2020",https://www.washingtonpost.com/business/2020/07/09/coronavirus-pay-cut-work-advice/,,,,
"July 16, 2020",https://www.washingtonpost.com/business/2020/07/16/coronavirus-stress-ghosting-employer/,,,,
"July 23, 2020",https://www.washingtonpost.com/business/2020/07/23/coronavirus-job-work-stress-cope/,,,,
"July 30, 2020",https://www.washingtonpost.com/business/2020/07/30/work-stress-coronavirus/,,,,
"August 6, 2020",https://www.washingtonpost.com/business/2020/08/06/work-advice-job-stress/,,,,
"August 13, 2020",https://www.washingtonpost.com/business/2020/08/13/work-advice-unemployment-benefits-quit-unpaid-job/,,,,
"August 20, 2020",https://www.washingtonpost.com/business/2020/08/20/reimbursement-home-office-work-expenses/,,,,
"September 3, 2020",https://www.washingtonpost.com/business/2020/09/03/retail-manager-job-search/,,,,
"September 10, 2020",https://www.washingtonpost.com/business/2020/09/10/entry-level-job-college-graduate/,,,,
"September 17, 2020",https://www.washingtonpost.com/business/2020/09/17/election-federal-employees-hatch-act/,,,,
"September 24, 2020",https://www.washingtonpost.com/business/2020/09/24/face-masks-coworkers-workplace/,,,,
"October 1, 2020",https://www.washingtonpost.com/business/2020/10/01/our-co-workers-had-coronavirus-our-boss-never-told-us/,,,,
"October 8, 2020",https://www.washingtonpost.com/business/2020/10/08/old-employer-job-search-sabotage/,,,,
"October 15, 2020",https://www.washingtonpost.com/business/2020/10/15/coworker-roommate-tension-coronavirus/,,,,
"October 22, 2020",https://www.washingtonpost.com/business/2020/10/22/first-responder-covid-long-hauler/,,,,
"October 29, 2020",https://www.washingtonpost.com/business/2020/10/29/working-parents-childfree-colleagues/,,,,
"November 5, 2020",https://www.washingtonpost.com/business/2020/11/05/working-moms-co-worker-tensions/,,,,
"November 12, 2020",https://www.washingtonpost.com/business/2020/11/12/work-life-balance-child-free/,,,,
"November 19, 2020",https://www.washingtonpost.com/business/2020/11/19/bad-boss-solutions-covid/,,,,
"December 3, 2020",https://www.washingtonpost.com/business/2020/12/03/small-business-succession-plan/,,,,
"December 10, 2020",https://www.washingtonpost.com/business/2020/12/10/office-holiday-party-coronavirus/,,,,
"December 17, 2020",https://www.washingtonpost.com/business/2020/12/17/covid-era-workplace-hard-questions-no-easy-answers/,,,,
"December 30, 2020",https://www.washingtonpost.com/business/2020/12/30/after-suffering-abuse-two-narcissistic-bosses-im-leery-working-others/,,,,
"January 7, 2021",https://www.washingtonpost.com/business/2021/01/07/dealing-with-old-boss-promotion/,,,,
"January 14, 2021",https://www.washingtonpost.com/business/2021/01/14/workplace-firing-trump-mob/,,,,
"January 21, 2021",https://www.washingtonpost.com/business/2021/01/21/when-free-speech-clashes-with-keeping-your-job/,,,,
"January 28, 2021",https://www.washingtonpost.com/business/2021/01/28/vegan-option-food-allergies-business-events/,,,,
"February 4, 2021",https://www.washingtonpost.com/business/2021/02/04/zoom-video-conference-post-pandemic/,,,,
"February 11, 2021",https://www.washingtonpost.com/business/2021/02/11/workplace-coworker-trust-issues/,,,,
"February 18, 2021",https://www.washingtonpost.com/business/2021/02/18/boss-communications-typos-grammar-mistakes/,,,,
"February 25, 2021",https://www.washingtonpost.com/business/2021/02/25/meeting-coworkers-remotely-new-job/,,,,
"March 4, 2021",https://www.washingtonpost.com/business/2021/03/04/anti-mask-job-offer/,,,,
"March 11, 2021",https://www.washingtonpost.com/business/2021/03/11/waiting-for-job-offer-pandemic/,,,,
"March 18, 2021",https://www.washingtonpost.com/business/2021/03/18/turning-down-a-job-promotion/,,,,
"March 25, 2021",https://www.washingtonpost.com/business/2021/03/25/commuter-benefits-cut-covid/,,,,
"April 8, 2021",https://www.washingtonpost.com/business/2021/04/08/employee-benefits-pandemic-workplace/,,,,
"April 15, 2021",https://www.washingtonpost.com/business/2021/04/15/my-old-job-was-erased-when-i-was-medical-leave-doesnt-job-i-return-have-be-same/,,,,
"April 22, 2021",https://www.washingtonpost.com/business/2021/04/22/grieving-loss-of-parent-during-covid/,,,,
"April 29, 2021",https://www.washingtonpost.com/business/2021/04/29/telling-potential-employer-about-disability/,,,,
"May 6, 2021",https://www.washingtonpost.com/business/2021/05/06/mothers-day-crisis-working-moms/,,,,
"May 13, 2021",https://www.washingtonpost.com/business/2021/05/13/workplace-microaggressions-remote-workers/,,,,
"May 20, 2021",https://www.washingtonpost.com/business/2021/05/20/dealing-with-poor-work-performance/,,,,
"June 3, 2021",https://www.washingtonpost.com/business/2021/06/03/how-to-respond-when-your-boss-says-calm-down/,,,,
"June 10, 2021",https://www.washingtonpost.com/business/2021/06/10/reporting-coworker-for-suspected-child-abuse/,,,,
"June 17, 2021",https://www.washingtonpost.com/business/2021/06/17/shorter-commutes-back-to-office/,,,,
"June 24, 2021",https://www.washingtonpost.com/business/2021/06/24/manager-out-to-get-me/,,,,
"July 8, 2021",https://www.washingtonpost.com/business/2021/07/08/company-expenses-personal-credit-card/,,,,
"July 15, 2021",https://www.washingtonpost.com/business/2021/07/15/business-expenses-personal-credit-card/,,,,
"July 22, 2021",https://www.washingtonpost.com/business/2021/07/22/how-to-keep-working-remotely/,,,,
"July 29, 2021",https://www.washingtonpost.com/business/2021/07/29/female-teen-lifeguard-questions-why-male-teen-guards-are-being-paid-more-same-job/,,,,
"August 5, 2021",https://www.washingtonpost.com/business/2021/08/05/gender-pay-gap-teen-summer-job/,,,,
"August 12, 2021",https://www.washingtonpost.com/business/2021/08/12/stay-at-home-dad-returns-workplace-struggles-with-stupefyingly-boring-job/,,,,
"August 26, 2021",https://www.washingtonpost.com/business/2021/08/26/asking-questions-job-interviews/,,,,
